source,bare_exists
Ineffable Orichalcum Imbued Inscription[s],
Ineffable Orichalcum Plated Inscription[s],
Ineffable Seasoned Inscription[s],
Infernal Dye[s],
Infernal Envoy Backpack Skin[s],
Infernal Envoy Backpack and Glider Combo[s],
Infernal Envoy Glider Skin[s],
Infernal Envoy Outfit[s],
Infernal Envoy Staff Skin[s],
Infernal Facade[s],
Infernal Flail Mace Skin[s],
Infernal Horror Springer Skin[s],
Infernal Roar Warhorn Skin[s],
Infestation withers in: %str1%,
Infinirarium Deck[s],
Infinirarium Glider[s],
Infinite Continue Coin[s],
Infinite Fishing Lure[s],
Infinite Generic WvW Commander Tonic[s],
Infinite Golem Swarm Potion[s],
Infinite Mist Defensive Potion[s],
Infinite Mist Mobility Potion[s],
Infinite Mist Offensive Potion[s],
Infinite Mist Omnipotion[s],
Infinite Molten Berserker Tonic[s],
Infinite Slubling Tonic[s],
Infinite Toxic Krait Tonic[s],
Infinite Watchknight Mk II Tonic[s],
Infinite Watchknight Tonic[s],
Influence: %num1%,
Infused Aurora Chestguard Skin[s],
Infused Aurora Gloves Skin[s],
Infused Aurora Leggings Skin[s],
Infused Katana Sword Skin[s],
Infused Mote[s],
Infused Samurai Outfit[s],
Infused Wakizashi Dagger Skin[s],
Infusion Extraction Device[s],
Infusion[s],
Inject %num2% dose[s] of antitoxin to into the heart of the tower.,
Inner Nayos: Commander's Choice Chest[s],
Inner Nayos: Hero's Choice Chest[s],
"Inquest Assassin Loot Box[pl:""Boxes""]",
Inquest Data Crystal[s],
Inquest Dragon Energy Research Cube[s],
"Inquest Engineer Loot Box[pl:""Boxes""]",
Inquest Exo-Suit Outfit[s],
Inquest Golem Part[s],
"Inquest Golemcaster Loot Box[pl:""Boxes""]",
"Inquest Grenadier Loot Box[pl:""Boxes""]",
"Inquest Heavy Armor Box[pl:""Boxes""]",
"Inquest Light Armor Box[pl:""Boxes""]",
"Inquest Loot Box[pl:""Boxes""]",
Inquest Mark II Axe Skin[s],
Inquest Mark II Dagger Skin[s],
Inquest Mark II Focus Skin[s],
Inquest Mark II Greatsword Skin[s],
Inquest Mark II Hammer Skin[s],
Inquest Mark II Longbow Skin[s],
Inquest Mark II Mace Skin[s],
Inquest Mark II Pistol Skin[s],
Inquest Mark II Rifle Skin[s],
Inquest Mark II Scepter Skin[s],
Inquest Mark II Shield Skin[s],
Inquest Mark II Short Bow Skin[s],
Inquest Mark II Staff Skin[s],
Inquest Mark II Sword Skin[s],
Inquest Mark II Torch Skin[s],
Inquest Mark II Warhorn Skin[s],
"Inquest Mark II Weapon Box[pl:""Boxes""]",
"Inquest Medium Armor Box[pl:""Boxes""]",
Inquest Overseer Glider[s],
Inquest Passcode[s],
"Inquest Pilot Loot Box[pl:""Boxes""]",
Inquest Power Core[s],
Inquest Raptor Skin[s],
Inquest Skimmer Skin[s],
"Inquest Technician Loot Box[pl:""Boxes""]",
Inquest determination: %num1%%%,
Inquest dig sites examined: %num1%/%num2%,
Inquest morale: %num1%%%,
Inquest remaining: %num1%%%,
Inquest return to their posts in: %str1%,
Inquest: %num1% Crystal Shard[s],
Inscribed Shard[s],
Inscription[s] of the Spearmarshal,
"Insect Loot Box[pl:""Boxes""]",
Insect[s],
Insignia[s] of the Harrier,
Insignia[s] of the Spearmarshal,
Instant Armor-Reinforcing Canister[s],
Instant Trait Reset[s],
"Instantly Level 80[pl:""Level""]",
Instruct your griffon to dive by holding [lbracket]%str1%[rbracket].,
Instruct your griffon to flap its wings and gain altitude using [lbracket]%str1%[rbracket]. Use this to reach the adventure starting point.,
Instruct your skimmer to dive under the surface by holding [lbracket]%str1%[rbracket].,
"Instructions for Defectors[pl:""Defectors""]",
Insubstantial Brand Crystal[s],
Intact Mosaic[s],
"Integrated Circuitry[pl:""Circuitry""]",
"Integrated Fractal Matrix[pl:""Matrices""]",
Intelligence Report: Palawa Joko I Page 01[s],
Intelligence Report: Palawa Joko I Page 02[s],
Intelligence Report: Palawa Joko I Page 03[s],
Intelligence Report: Palawa Joko I Page 04[s],
Intelligence Report: Palawa Joko I Page 05[s],
Intelligence Report: Palawa Joko I Page 06[s],
Intelligence Report: Palawa Joko I Page 07[s],
Intelligence: %num1%,
Interact with non-player characters in the world by pressing [lbracket]%str1%[rbracket] when you get close to them.,
Intercept %num2% passes in keg brawl.,
Internet (IP) address blocked. Please contact technical support at <a=1>%str1%</a>.,
Interrogation Information: %num1%/%num2%,
Interrupt %num2% skill[s] in the Dragon Ball arena. Achievement can be completed once per year.,
Interrupter activates in: %str1%,
Intertwined Wood Band[s],
"Interviewed %num1%/%num2% Invasion Witness[pl:""Witnesses""]",
Intimidator[s],
Intricate Amethyst Jewel[s],
Intricate Carnelian Jewel[s],
Intricate Lapis Jewel[s],
Intricate Peridot Jewel[s],
"Intricate Scribe's Tools[pl:""Tools""]",
Intricate Snowflake[s],
Intricate Spinel Jewel[s],
Intricate Sunstone Jewel[s],
Intricate Topaz Jewel[s],
Intricate Totem[s],
"Intricate Watchwork Box[pl:""Boxes""]",
Inventor's Sunglasses Skin[s],
Inverted Blade Wings Backpack[s],
Inverted Blade Wings Glider[s],
Invisible Berserker's Mushroom Spore[s],
"Invisible Boot Box[pl:""Boxes""]",
Invisible Chronomancer's Mushroom Spore[s],
Invisible Daredevil's Mushroom Spore[s],
Invisible Dragonhunter's Mushroom Spore[s],
Invisible Druid's Mushroom Spore[s],
Invisible Herald's Mushroom Spore[s],
Invisible Reaper's Mushroom Spore[s],
Invisible Scrapper's Mushroom Spore[s],
Invisible Tempest's Mushroom Spore[s],
Invitation[s],
Invulnerable Dolyaks Tactic[s],
Invulnerable Fortification Tactic[s],
Irate Bull[s],
Iris Blush Dye[s],
Iris Dye[s],
Iron Axe Blade[s],
Iron Beast Greatsword[s],
Iron Casque Casing[s],
Iron Casque Lining[s],
Iron Chisel[s],
Iron Column[s] 16 x 120 x 16,
Iron Column[s] 16 x 120 x 30,
Iron Column[s] 16 x 240 x 16,
Iron Column[s] 16 x 240 x 30,
Iron Column[s] 16 x 480 x 16,
Iron Column[s] 16 x 480 x 30,
Iron Column[s] 30 x 120 x 30,
Iron Column[s] 30 x 240 x 30,
Iron Column[s] 30 x 480 x 30,
Iron Craftsman's Hammer[s],
Iron Dagger Blade[s],
Iron Dagger Hilt[s],
Iron Door[s],
Iron Doorway[s] 240 x 240,
Iron Dye[s],
Iron Floor[s] 960 x 600,
Iron Floor[s] 960 x 840,
Iron Greatsword Blade[s],
Iron Greatsword Hilt[s],
Iron Guards Improvement[s],
Iron Hammer Head[s],
Iron Horn[s],
Iron Ingot[s],
Iron Legion Banner Skin[s],
"Iron Legion Claw Box[pl:""Boxes""]",
Iron Legion Commendation[s],
"Iron Legion Crafting Box[pl:""Boxes""]",
Iron Legion Key[s],
Iron Legion Mortar[s],
"Iron Legion Onyx Materials Box[pl:""Boxes""]",
"Iron Legion Ore Box[pl:""Boxes""]",
"Iron Legion Reward Box[pl:""Boxes""]",
Iron Legion Special Mission Document[s],
Iron Mace Head[s],
Iron Ore Mining Node[s],
Iron Pauldron Casing[s],
Iron Pauldron Lining[s],
Iron Pistol Barrel[s],
Iron Plated Dowel[s],
Iron Rifle Barrel[s],
Iron Scale Armguard Lining[s],
Iron Scale Armguard Panel[s],
Iron Scale Boot Lining[s],
Iron Scale Boot Panel[s],
Iron Scale Chest Padding[s],
Iron Scale Chest Panel[s],
Iron Scale Legging Lining[s],
Iron Scale Legging Panel[s],
Iron Shield Backing[s],
Iron Siegecouch[s],
Iron Siegesofa[s],
Iron Siegethrone[s],
Iron Spear Head[s],
"Iron Stairs[pl:""Stairs""] (120 x 120)",
"Iron Stairs[pl:""Stairs""] (120 x 60)",
"Iron Stairs[pl:""Stairs""] 120 x 120",
"Iron Stairs[pl:""Stairs""] 120 x 60",
Iron Sword Blade[s],
Iron Sword Hilt[s],
Iron Torch Head[s],
Iron Trident Head[s],
Iron Wall[s] (120 x 240),
Iron Wall[s] (240 x 240),
Iron Wall[s] (60 x 240),
Iron Wall[s] (600 x 240),
Iron Wall[s] (960 x 240),
Iron Wall[s] 120 x 120,
Iron Wall[s] 120 x 240,
Iron Wall[s] 120 x 60,
Iron Wall[s] 240 x 120,
Iron Wall[s] 240 x 240,
Iron Wall[s] 60 x 120,
Iron Wall[s] 60 x 240,
Iron Wall[s] 600 x 240,
Iron Wall[s] 960 x 240,
Iron Warhorn Mouthpiece[s],
Iron Window[s],
Iron lane pledges: %num1%/%num2%,
Iron trials completed: %num1%/%num2%,
Ironclad Glider[s],
Ironclad Outfit[s],
Irukandji Tentacle[s],
"Island Fern[pl:""Ferns""]",
"Island Fern[pl:""Ferns""] (Large)",
"Island Fern[pl:""Ferns""] (Varied)",
"Island Fern[pl:""Ferns""] (Wide)",
"Island Flower[pl:""Flowers""] (Giant)",
"Island Pitcher Plant Patch[pl:""Patches""]",
Island Shoulder Skin[s],
"Island Shrub[pl:""Shrubs""]",
"Island Shrub[pl:""Shrubs""] (Bunch)",
Island Sprinter Feathered Raptor Skin[s],
"Island Tree[pl:""Trees""] (Curved)",
"Island Tree[pl:""Trees""] (Short)",
"Island Tree[pl:""Trees""] (Tall)",
Island Wurm[s],
Istan Cache[s],
Istani Empowerment[s],
Istani Isles Mount Adoption License[s],
Istani Isles Mount Select License[s],
"Istani Strongbox[pl:""Strongboxes""]",
It is too soon to use your portal stone. You can use it again in %num1% seconds.,
"It is you, %str1%! You helped Urgulp so much, quaggan will think of you every day and wish you love, luck, and delicious leeches. That reminds me. Quaggan has stuff to barter.",
"It says, ""%str1%.""",
Item Booster[s],
Item requires guild rank permission %str1%.,
Item: %str1%,
Ithas Longbow[s],
Itzel Combat Lesson[s],
Itzel Guide[s] to Waterproofing,
"Itzel Hourglass[pl:""Hourglasses""]",
Itzel Language Lesson[s],
Itzel Tracking Lesson[s],
Ivory Dye[s],
Jacaranda Dye[s],
Jack-in-the-Box Scythe[s],
Jack-o'-Lantern[s],
Jackal Chair[s],
Jackal Pup Backpack[s],
Jackal Rental Post[s],
Jackal Rune Gauntlets Skin[s],
Jackal Rune Greaves Skin[s],
Jackal Treat[s],
Jade Balance Dye[s],
Jade Bot Core[s]: Tier 1,
Jade Bot Core[s]: Tier 10,
Jade Bot Core[s]: Tier 2,
Jade Bot Core[s]: Tier 3,
Jade Bot Core[s]: Tier 4,
Jade Bot Core[s]: Tier 5,
Jade Bot Core[s]: Tier 6,
Jade Bot Core[s]: Tier 7,
Jade Bot Core[s]: Tier 8,
Jade Bot Core[s]: Tier 9,
Jade Bot Workbench[s],
Jade Brotherhood Cache[s],
Jade Cathedral Statuette[s],
Jade Dragon Statuette[s],
Jade Dye Kit[s],
Jade Empress Statuette[s],
Jade Fragment Node[s],
Jade Gate Statuette[s],
Jade Ink Dye[s],
Jade Insignia[s] of the Harrier,
Jade Kraken Timed Mote[s],
"Jade Lamprey[pl:""Lampreys""]",
Jade Maw Fang[s],
Jade Miner's Keycard[s],
Jade Prosthesis Gauntlet Skin[s],
Jade Runestone[s],
Jade Sea Turtle[s],
"Jade Shard Strongbox[pl:""Strongboxes""]",
Jade Shard[s],
Jade Sliver[s],
Jade Tech Chair[s],
Jade Tech Eye Piece Helm Skin[s],
Jade Tech Fishing Rod Skin[s],
Jade Tech Jetpack Backpack and Glider Combo[s],
Jade Tech Jetpack Backpack[s],
"Jade Tech Lockbox[pl:""Lockboxes""]",
"Jade Tech Loot Box[pl:""Boxes""]",
Jade Tech Outfit[s],
Jade Tech Part[s],
Jade Tech Raptor Skin[s],
Jade Tech Siege Turtle Skin[s],
Jade Tech Skiff Skin[s],
Jade Tech Visor Skin[s],
Jade Tech Wings Backpack and Glider Combo[s],
Jade Tech Wings Backpack[s],
Jade Technician Backpack[s],
Jade console will appear in: %str1%,
"Jadeite Fossilized Phyllopteryx[pl:""Phyllopteryxes""]",
Jafri's Package[s] of Snowballs,
Jagged Aetherized Metal Scrap[s],
Jagged Fused Metal Scrap[s],
Jagged Horror[s],
Jagged Metal Scrap[s],
Jagged Twisted Watchwork Scrap[s],
Jahai Bluffs Cache[s],
Jahai Bluffs Coffer[s],
Jahai Bluffs Empowerment[s],
Jahai Fortress Key Ring[s],
Jaka Itzel rally points controlled: %num1%,
Janthir Fishing Reward[s],
"Janthir Grass[pl:""Grasses""] (Large)",
"Janthir Grass[pl:""Grasses""] (Small)",
Janthir Hoard[s],
Janthir Outdoors T-Shirt Skin[s],
Janthir Syntri Renown Token[s],
"Janthir Syntri Strongbox[pl:""Strongboxes""]",
Janthir Syntri: Commander's Choice Chest[s],
Janthir Syntri: Hero's Choice Chest[s],
"Janthir Wilds Bloodstone Loot Box[pl:""Boxes""]",
"Janthir Wilds Creatures Loot Box[pl:""Boxes""]",
"Janthir Wilds Decima Loot Box[pl:""Boxes""]",
"Janthir Wilds Elemental Loot Box[pl:""Boxes""]",
Janthir Wilds Expedition Contract[s],
"Janthir Wilds Gear Box[pl:""Boxes""]",
"Janthir Wilds Greer Loot Box[pl:""Boxes""]",
"Janthir Wilds Jade Construct Loot Box[pl:""Boxes""]",
"Janthir Wilds Kodan Loot Box[pl:""Boxes""]",
Janthir Wilds Launch Supply Drop Requisition[s],
"Janthir Wilds Mursaat Loot Box[pl:""Boxes""]",
"Janthir Wilds Ura Loot Box[pl:""Boxes""]",
Janthir Wilds Warclaw Skin[s],
"Janthiri Gear Box[pl:""Boxes""]",
Janthiri Renown Chest[s],
Jar[s] of Bees,
Jar[s] of Citrus Cream Sauce,
Jar[s] of Distilled Glory,
Jar[s] of Finely Ground Bloodstone Dust,
Jar[s] of Fish Eggs,
Jar[s] of Freshwater Minnows,
Jar[s] of Harpy Pheromones,
Jar[s] of Hollandaise Sauce,
Jar[s] of Honey,
Jar[s] of Juniberry Jam,
Jar[s] of Kimchi,
Jar[s] of Lava Beetles,
Jar[s] of Leeches,
Jar[s] of Lightning Bugs,
Jar[s] of Luminesce Polish,
Jar[s] of Lye,
Jar[s] of Mint Sauce,
Jar[s] of Mint-Parsley Sauce,
Jar[s] of Orange Sauce,
Jar[s] of Orange-Clove Syrup,
Jar[s] of Pink Paint,
Jar[s] of Ramshorn Snails,
Jar[s] of Red Curry Paste,
Jar[s] of Salsa Garnish,
Jar[s] of Sardines,
Jar[s] of Savory Winterberry Sauce,
Jar[s] of Scorpions,
Jar[s] of Sesame Syrup,
Jar[s] of Shrimplings,
Jar[s] of Sparkfly Larvae,
Jar[s] of Sweet Chili Paste,
Jar[s] of Tomato Sauce,
Jar[s] of Vegetable Oil,
Jar[s] of Vinegar,
Jar[s] of Wolf Pheromones,
Jar[s] of Wurmswort,
"Jellyfish Beast Jelly[pl:""Jellies""]",
Jellyfish Tentacle[s],
"Jerk Poultry Flatbread Sandwich[pl:""Sandwiches""]",
"Jerk Poultry and Nopal Flatbread Sandwich[pl:""Sandwiches""]",
"Jeweled Damask Patch[pl:""Patches""]",
Jeweled Deldrimor Steel Plated Dowel[s],
Jeweled Scarab Package[s],
Jewelry Display Case[s],
Join %str1%,
Join %str1%'s story: %str2%.,
Join in %str1%,
Join your guild in %str2%.,
Join your party in %str1%?,
Joined %str1% alliance.,
"Jokopu[pl:""Jokopu""]",
Jolly Bow[s],
Jolly Wintersday Gift[s],
Jora's Cape[s],
Jora's Outfit[s],
Jora's Weapons Cache[s],
Jorbreaker[s],
Jormag Dye Kit[s],
Jormag Hologram Generator[s],
Jormag Left Eye Infusion[s],
"Jormag Minion Loot Box[pl:""Boxes""]",
Jormag Right Eye Infusion[s],
Jormag's Argument Skin[s],
Jormag's Bite Skin[s],
Jormag's Breath Skin[s],
Jormag's Claw Fragment[s],
Jormag's Claw Skin[s],
Jormag's Fang Skin[s],
Jormag's Flight Skin[s],
Jormag's Gaze Skin[s],
Jormag's Insight Skin[s],
Jormag's Persuasion Skin[s],
Jormag's Rending Skin[s],
Jormag's Scale Skin[s],
Jormag's Tail Skin[s],
Jormag's Voice Skin[s],
Jormag's Weight Skin[s],
Jormag's Wing Skin[s],
Jormag's Wisdom Skin[s],
"Jorms Plush[pl:""Plushes""]",
Jotun Infusion[s],
"Jotun Loot Box[pl:""Boxes""]",
Jotun Runestone[s],
Journeyman Maintenance Oil[s],
Journeyman Tuning Crystal[s],
Journeyman's Bag[s] of Crafting Supplies,
Journeyman's Finishing Kit[s],
Journeyman's Ink Set[s],
Journeyman's Salvage Kit[s],
Journeyman's Scribing Kit[s],
"Joyau[pl:""Joyaux""] valkyrien[s]",
Jug[s] of Autumn Nectar,
Jug[s] of Confiscated Booze,
Jug[s] of Fernhound Mead,
Jug[s] of Friesson's Ale,
Jug[s] of Hard Apple Cider,
Jug[s] of Liquid Karma,
Jug[s] of Martini,
Jug[s] of Moletariate Cocktail,
Jug[s] of Subterranean Water,
Jug[s] of Water,
Jug[s] of Wildflower Cyser,
Juggernaut minions%num1%,
Jukebox Order Form[s],
"Jukebox[pl:""Jukeboxes""]",
Jump or swim up by pressing [lbracket]%str1%[rbracket].,
Jump over Drakkar's shock wave attack %num2% times.,
Jumped Over %num1%/%num2% Shock Waves,
Jumped over Drakkar's Shock Wave Attack %num1%/%num2% Times,
"Jundia[pl:""Jundia""]",
"Junge Felsgazelle[pl:""Felsgazellen""]",
"Junger[pl:""Junge""] Dschungelpirscher",
"Jungle Bear Finisher Box[pl:""Boxes""]",
Jungle Boar[s],
"Jungle Bush[pl:""Bushes""]",
"Jungle Deer Finisher Box[pl:""Boxes""]",
"Jungle Dolyak Finisher Box[pl:""Boxes""]",
"Jungle Dragon Finisher Box[pl:""Boxes""]",
Jungle Dye[s],
Jungle Explorer Outfit[s],
Jungle Grass Seed[s],
Jungle Grub[s],
Jungle Log[s],
Jungle Log[s] Arched,
"Jungle Phoenix Finisher Box[pl:""Boxes""]",
Jungle Plant[s],
"Jungle Rabbit Finisher Box[pl:""Boxes""]",
"Jungle Shark Finisher Box[pl:""Boxes""]",
"Jungle Tiger Finisher Box[pl:""Boxes""]",
"Jungle Wolf Finisher Box[pl:""Boxes""]",
Jungle Wurm Egg[s],
Jungle Wurm Omelet[s] (Mossman Style),
Junundu Ichor[s],
Junundu wurms: %num1%,
Jute Breeches Lining[s],
Jute Breeches Panel[s],
Jute Epaulet Padding[s],
Jute Epaulet Panel[s],
Jute Headpiece Padding[s],
Jute Headpiece Strap[s],
"Jute Patch[pl:""Patches""]",
Jute Sandal Sole[s],
Jute Sandal Upper[s],
Jute Scrap[s],
Jute Tunic Lining[s],
Jute Tunic Panel[s],
Jute Wristguard Padding[s],
Jute Wristguard Strap[s],
Juvenile Alpine Wolf[s],
Juvenile Black Bear[s],
Juvenile Black Moa[s],
Juvenile Black Widow Spider[s],
Juvenile Blue Moa[s],
Juvenile Boar[s],
Juvenile Bristleback[s],
Juvenile Brown Bear[s],
Juvenile Carrion Devourer[s],
Juvenile Cave Spider[s],
Juvenile Cheetah[s],
Juvenile Eagle[s],
Juvenile Electric Wyvern[s],
Juvenile Fanged Iboga[s],
Juvenile Fern Hound[s],
Juvenile Fire Wyvern[s],
Juvenile Forest Spider[s],
"Juvenile Frogfish[pl:""Frogfish""]",
Juvenile Hawk[s],
Juvenile Hyena[s],
Juvenile Ice Drake[s],
Juvenile Jacaranda[s],
Juvenile Jaguar[s],
Juvenile Janthiri Bee[s],
Juvenile Jungle Spider[s],
Juvenile Jungle Stalker[s],
Juvenile Krytan Drakehound[s],
Juvenile Lashtail Devourer[s],
Juvenile Lynx[s],
Juvenile Marsh Drake[s],
Juvenile Murellow[s],
Juvenile Owl[s],
Juvenile Pig[s],
Juvenile Pink Moa[s],
Juvenile Pocket Raptor[s],
Juvenile Polar Bear[s],
Juvenile Raven[s],
Juvenile Red Moa[s],
Juvenile Reef Drake[s],
Juvenile River Drake[s],
Juvenile Salamander Drake[s],
Juvenile Sand Eel[s],
Juvenile Sand Lion[s],
Juvenile Sand Shark[s],
Juvenile Shadhavar[s],
Juvenile Shark[s],
Juvenile Siamoth[s],
Juvenile Smokescale[s],
Juvenile Snow Leopard[s],
Juvenile Spikenose Beetle[s],
Juvenile Sprayer Beetle[s],
Juvenile Tiger[s],
Juvenile Warthog[s],
Juvenile Whiptail Devourer[s],
Juvenile White Moa[s],
Juvenile White Raven[s],
Juvenile White Tiger[s],
Juvenile Wolf[s],
Kaboomium Applied: %num1% percent,
"Kahawai[pl:""Kahawais""]",
Kahloipoi Friendship Bracelet[s],
Kaineng City Fishing License[s],
Kaineng City Umbrella[s],
Kaineng Fishing Reward[s],
Kaineng Lights Mount Adoption License[s],
Kaineng Lights Mount Select License[s],
Kaiser Snake Axe Skin[s],
Kaiser Snake Dagger Skin[s],
Kaiser Snake Focus Skin[s],
Kaiser Snake Greatsword Skin[s],
Kaiser Snake Hammer Skin[s],
Kaiser Snake Longbow Skin[s],
Kaiser Snake Mace Skin[s],
Kaiser Snake Pistol Skin[s],
Kaiser Snake Rifle Skin[s],
Kaiser Snake Scepter Skin[s],
Kaiser Snake Shield Skin[s],
Kaiser Snake Short Bow Skin[s],
Kaiser Snake Staff Skin[s],
Kaiser Snake Sword Skin[s],
Kaiser Snake Torch Skin[s],
Kaiser Snake Warhorn Skin[s],
"Kale Leaf[pl:""Leaves""]",
"Kale Seed Pouch[pl:""Pouches""]",
"Kaluga[pl:""Kaluga""]",
Karka Cake[s],
Karka Hatchling[s],
Karka Helm Skin[s],
Karka Queen Claw[s],
Karka Shell[s],
Karka Toughness Station[s],
Karka nests: %num1%/%num2%,
Karma Booster[s],
Karma: %num1%,
Karmic Enrichment[s],
"Karmic Retribution[pl:""Retributions""]",
Karmic Retribution[s],
Kasmeer's Regal Outfit[s],
Kasmeer's Regalia Cape[s],
Kasmeer's Staff Skin[s],
Kastaz Roasted Poultry[s],
Keep - %num1% Points,
Keep Construct Rubble[s],
Keep Construct's Coffer[s],
Keep the repair crew safe. Alive: %num1%/3,
Keeper's Zealot Inscription[s],
Keeper's Zealot Insignia[s],
Keepsake Axe Skin[s],
Keepsake Dagger Skin[s],
Keepsake Focus Skin[s],
Keepsake Greatsword Skin[s],
Keepsake Hammer Skin[s],
Keepsake Longbow Skin[s],
Keepsake Mace Skin[s],
Keepsake Pistol Skin[s],
Keepsake Rifle Skin[s],
Keepsake Scepter Skin[s],
Keepsake Shield Skin[s],
Keepsake Short Bow Skin[s],
Keepsake Staff Skin[s],
Keepsake Sword Skin[s],
Keepsake Torch Skin[s],
Keepsake Warhorn Skin[s],
"Keepsake Weapon Box[pl:""Boxes""]",
Keg Brawl Skills Mastered: %num1%,
Keg Rack[s],
Keg[s],
Keg[s] of Abbey Ale,
Keg[s] of Ale,
Keg[s] of Instant World Experience,
Keg[s] of Liquid Karma,
Kela's Coffer[s],
Kela's Magnificent Coffer[s],
Kelly Dye[s],
Kelp Potion[s],
Kenut Combat Tonic[s],
Kestrel Choole: %num1%/%num2%,
Key Lime Dye[s],
Key[s] of Greater Nightmares,
Key[s] to Noran's Secret Chest,
Khaki Clothing Outfit[s],
Khaki Dye[s],
"Kid[pl:""kids""]",
Kidney Bean[s],
Kill %num1% Player[s] in WvW,
Kill %num1%/%num2% champions.,
Kill %num2% Aberrant.,
Kill %num2% Branded during the Shatterer battle.,
Kill %num2% Crystal Desert predators.,
Kill %num2% Fallen.,
Kill %num2% Flame Legionnaire[s] in the Crown Pavilion.,
Kill %num2% Flame Legionnaire[s] in the Crown Pavilion. This achievement can be completed once every year.,
Kill %num2% Kryptis in Amnytas.,
Kill %num2% Purists in New Kaineng City.,
Kill %num2% Sons of Svanir.,
Kill %num2% Unchained Risen in New Kaineng City.,
Kill %num2% White Mantle cultist[s] in the Crown Pavilion.,
Kill %num2% White Mantle cultist[s] in the Crown Pavilion. This achievement can be completed once every year.,
Kill %num2% ambient creatures.,
Kill %num2% bandit[s] in the Crown Pavilion.,
Kill %num2% bandit[s] in the Crown Pavilion. This achievement can be completed once every year.,
Kill %num2% bandits.,
Kill %num2% bats.,
Kill %num2% centaur[s] in the Crown Pavilion.,
Kill %num2% centaur[s] in the Crown Pavilion. This achievement can be completed once every year.,
Kill %num2% centaurs.,
Kill %num2% chak.,
Kill %num2% champion chak.,
Kill %num2% champions of the krait.,
Kill %num2% crustaceans.,
Kill %num2% destroyer[s] in the Crown Pavilion.,
Kill %num2% destroyer[s] in the Crown Pavilion. This achievement can be completed once every year.,
Kill %num2% destroyers.,
Kill %num2% devourers.,
Kill %num2% different factions of Scarlet's minions anywhere in Tyria.,
Kill %num2% djinn.,
Kill %num2% drakes.,
Kill %num2% dredge.,
Kill %num2% elementals.,
Kill %num2% enemies using profession combinations with another player.,
Kill %num2% enemy guard NPCs in World vs. World.,
Kill %num2% enemy player[s] in rated arena games.,
Kill %num2% enemy supply caravan[s].,
"Kill %num2% enemy[pl:""enemies""] while defending your team's capture points during rated Revenge of the Capricorn matches.",
Kill %num2% ettins.,
Kill %num2% fish.,
Kill %num2% ghosts.,
Kill %num2% giants.,
Kill %num2% grawl.,
Kill %num2% great jungle wurm egg[s] before the larvae hatch.,
Kill %num2% griffons.,
Kill %num2% harpies.,
Kill %num2% hostile animals in the Drizzlewood Coast.,
Kill %num2% hostile hylek.,
Kill %num2% imps.,
Kill %num2% insects.,
Kill %num2% invaders.,
Kill %num2% jotun.,
Kill %num2% kappa in New Kaineng City.,
Kill %num2% krait in Nonmoa Lake or complete the Kill the Krait Witch event to aid the Eztlitl hylek.,
Kill %num2% krait.,
Kill %num2% members of Balthazar's Forged.,
Kill %num2% members of Joko's Awakened.,
Kill %num2% members of Zhaitan's army.,
Kill %num2% members of the Branded army.,
Kill %num2% members of the Flame Legion.,
Kill %num2% members of the Inquest.,
Kill %num2% members of the Nightmare Court.,
Kill %num2% members of the Sons of Svanir.,
Kill %num2% members of the Toxic Alliance.,
Kill %num2% minotaurs.,
Kill %num2% of Palawa Joko's minions.,
Kill %num2% of Palawa Joko's minions. Achievement can be completed once every year.,
Kill %num2% of the Lunatic Court rebels.,
Kill %num2% ogre[s] in the Crown Pavilion.,
Kill %num2% ogre[s] in the Crown Pavilion. This achievement can be completed once every year.,
Kill %num2% ogres.,
Kill %num2% oozes.,
Kill %num2% pirate[s] in the Crown Pavilion.,
Kill %num2% pirate[s] in the Crown Pavilion. This achievement can be completed once every year.,
Kill %num2% pirates.,
Kill %num2% plants.,
Kill %num2% player[s] in PvP.,
Kill %num2% player[s].,
Kill %num2% raid bosses. Killing bosses with challenge mode on and killing more difficult bosses progresses this faster.,
Kill %num2% raptors.,
Kill %num2% skale.,
Kill %num2% skelk.,
Kill %num2% skritt.,
Kill %num2% spiders.,
Kill %num2% trolls.,
Kill %num2% wind riders.,
Kill %num2% wurms.,
Kill jailers to access gates: %num1%/%num2%,
Kill the Awakened: %num1%/%num2%,
Killed %num1% of %num2% Awakened in the Domain of Istan,
Killed %num1% of %num2% Awakened in the Sandswept Isles,
Killed %num1% of %num2% Branded with Resonating Blast Inside the Auditorium,
Killed %num1% of %num2% Inquest in the Sandswept Isles,
Killed %num1%/%num2%,
Killed %num1%/%num2% Aberrant,
Killed %num1%/%num2% Aetherblades in Seitung Province,
Killed %num1%/%num2% Branded during the Shatterer Battle,
Killed %num1%/%num2% Branded in Thunderhead Peaks,
Killed %num1%/%num2% Champions in Dragonfall,
Killed %num1%/%num2% Creatures in Melandru's Lost Domain in Dragonfall,
Killed %num1%/%num2% Creatures in the Burning Forest in Dragonfall,
Killed %num1%/%num2% Enemy Invader[s],
Killed %num1%/%num2% Enemy Player[s],
Killed %num1%/%num2% Fallen,
Killed %num1%/%num2% Guard[s],
Killed %num1%/%num2% Hostile Wildlife,
Killed %num1%/%num2% Jade Brotherhood in Echovald Wilds,
Killed %num1%/%num2% Jade Brotherhood in Gyala Delve,
Killed %num1%/%num2% Jade Brotherhood in New Kaineng,
